Date/Time,Posts,Cumulative
2026-01-20T17:00:00.000Z,0,0
2026-01-20T18:00:00.000Z,0,0
2026-01-20T19:00:00.000Z,0,0
2026-01-20T20:00:00.000Z,1,1
2026-01-20T21:00:00.000Z,2,3
2026-01-20T22:00:00.000Z,1,4
2026-01-20T23:00:00.000Z,3,7
2026-01-21T00:00:00.000Z,0,7
2026-01-21T01:00:00.000Z,0,7
2026-01-21T02:00:00.000Z,0,7
2026-01-21T03:00:00.000Z,0,7
2026-01-21T04:00:00.000Z,0,7
2026-01-21T05:00:00.000Z,0,7
2026-01-21T06:00:00.000Z,2,9
2026-01-21T07:00:00.000Z,0,9
2026-01-21T08:00:00.000Z,6,15
2026-01-21T09:00:00.000Z,1,16
2026-01-21T10:00:00.000Z,1,17
2026-01-21T11:00:00.000Z,3,20
2026-01-21T12:00:00.000Z,3,23
2026-01-21T13:00:00.000Z,0,23
2026-01-21T14:00:00.000Z,0,23
2026-01-21T15:00:00.000Z,0,23
2026-01-21T16:00:00.000Z,0,23
2026-01-21T17:00:00.000Z,0,23
2026-01-21T18:00:00.000Z,2,25
2026-01-21T19:00:00.000Z,1,26
2026-01-21T20:00:00.000Z,1,27
2026-01-21T21:00:00.000Z,0,27
2026-01-21T22:00:00.000Z,0,27
2026-01-21T23:00:00.000Z,3,30
2026-01-22T00:00:00.000Z,0,30
2026-01-22T01:00:00.000Z,0,30
2026-01-22T02:00:00.000Z,0,30
2026-01-22T03:00:00.000Z,7,37
2026-01-22T04:00:00.000Z,0,37
2026-01-22T05:00:00.000Z,0,37
2026-01-22T06:00:00.000Z,1,38
2026-01-22T07:00:00.000Z,20,58
2026-01-22T08:00:00.000Z,17,75
2026-01-22T09:00:00.000Z,9,84
2026-01-22T10:00:00.000Z,0,84
2026-01-22T11:00:00.000Z,0,84
2026-01-22T12:00:00.000Z,0,84
2026-01-22T13:00:00.000Z,1,85
2026-01-22T14:00:00.000Z,4,89
2026-01-22T15:00:00.000Z,2,91
2026-01-22T16:00:00.000Z,0,91
2026-01-22T17:00:00.000Z,7,98
2026-01-22T18:00:00.000Z,11,109
2026-01-22T19:00:00.000Z,14,123
2026-01-22T20:00:00.000Z,4,127
2026-01-22T21:00:00.000Z,0,127
2026-01-22T22:00:00.000Z,0,127
2026-01-22T23:00:00.000Z,0,127
2026-01-23T00:00:00.000Z,9,136
2026-01-23T01:00:00.000Z,16,152
2026-01-23T02:00:00.000Z,10,162
2026-01-23T03:00:00.000Z,14,176
2026-01-23T04:00:00.000Z,0,176
2026-01-23T05:00:00.000Z,0,176
2026-01-23T06:00:00.000Z,1,177
2026-01-23T07:00:00.000Z,12,189
2026-01-23T08:00:00.000Z,0,189
2026-01-23T09:00:00.000Z,0,189
2026-01-23T10:00:00.000Z,0,189
2026-01-23T11:00:00.000Z,0,189
2026-01-23T12:00:00.000Z,0,189
2026-01-23T13:00:00.000Z,0,189
2026-01-23T14:00:00.000Z,0,189
2026-01-23T15:00:00.000Z,0,189
2026-01-23T16:00:00.000Z,7,196
2026-01-23T17:00:00.000Z,6,202
2026-01-23T18:00:00.000Z,3,205
2026-01-23T19:00:00.000Z,2,207
2026-01-23T20:00:00.000Z,1,208
2026-01-23T21:00:00.000Z,0,208
2026-01-23T22:00:00.000Z,1,209
2026-01-23T23:00:00.000Z,0,209
2026-01-24T00:00:00.000Z,3,212
2026-01-24T01:00:00.000Z,0,212
2026-01-24T02:00:00.000Z,3,215
2026-01-24T03:00:00.000Z,0,215
2026-01-24T04:00:00.000Z,2,217
2026-01-24T05:00:00.000Z,0,217
2026-01-24T06:00:00.000Z,7,224
2026-01-24T07:00:00.000Z,5,229
2026-01-24T08:00:00.000Z,0,229
2026-01-24T09:00:00.000Z,0,229
2026-01-24T10:00:00.000Z,0,229
2026-01-24T11:00:00.000Z,0,229
2026-01-24T12:00:00.000Z,0,229
2026-01-24T13:00:00.000Z,6,235
2026-01-24T14:00:00.000Z,7,242
2026-01-24T15:00:00.000Z,0,242
2026-01-24T16:00:00.000Z,0,242
2026-01-24T17:00:00.000Z,1,243
2026-01-24T18:00:00.000Z,3,246
2026-01-24T19:00:00.000Z,0,246
2026-01-24T20:00:00.000Z,1,247
2026-01-24T21:00:00.000Z,0,247
2026-01-24T22:00:00.000Z,0,247
2026-01-24T23:00:00.000Z,6,253
2026-01-25T00:00:00.000Z,1,254
2026-01-25T01:00:00.000Z,2,256
2026-01-25T02:00:00.000Z,5,261
2026-01-25T03:00:00.000Z,0,261
2026-01-25T04:00:00.000Z,3,264
2026-01-25T05:00:00.000Z,13,277
2026-01-25T06:00:00.000Z,4,281
2026-01-25T07:00:00.000Z,0,281
2026-01-25T08:00:00.000Z,0,281
2026-01-25T09:00:00.000Z,0,281
2026-01-25T10:00:00.000Z,0,281
2026-01-25T11:00:00.000Z,2,283
2026-01-25T12:00:00.000Z,8,291
2026-01-25T13:00:00.000Z,1,292
2026-01-25T14:00:00.000Z,0,292
2026-01-25T15:00:00.000Z,0,292
2026-01-25T16:00:00.000Z,5,297
2026-01-25T17:00:00.000Z,4,301
2026-01-25T18:00:00.000Z,2,303
2026-01-25T19:00:00.000Z,6,309
2026-01-25T20:00:00.000Z,3,312
2026-01-25T21:00:00.000Z,0,312
2026-01-25T22:00:00.000Z,0,312
2026-01-25T23:00:00.000Z,1,313
2026-01-26T00:00:00.000Z,1,314
2026-01-26T01:00:00.000Z,4,318
2026-01-26T02:00:00.000Z,1,319
2026-01-26T03:00:00.000Z,1,320
2026-01-26T04:00:00.000Z,2,322
2026-01-26T05:00:00.000Z,9,331
2026-01-26T06:00:00.000Z,2,333
2026-01-26T07:00:00.000Z,1,334
2026-01-26T08:00:00.000Z,0,334
2026-01-26T09:00:00.000Z,0,334
2026-01-26T10:00:00.000Z,0,334
2026-01-26T11:00:00.000Z,0,334
2026-01-26T12:00:00.000Z,0,334
2026-01-26T13:00:00.000Z,0,334
2026-01-26T14:00:00.000Z,15,349
2026-01-26T15:00:00.000Z,5,354
2026-01-26T16:00:00.000Z,8,362
2026-01-26T17:00:00.000Z,0,362
2026-01-26T18:00:00.000Z,0,362
2026-01-26T19:00:00.000Z,0,362
2026-01-26T20:00:00.000Z,0,362
2026-01-26T21:00:00.000Z,0,362
2026-01-26T22:00:00.000Z,1,363
2026-01-26T23:00:00.000Z,0,363
2026-01-27T00:00:00.000Z,0,363
2026-01-27T01:00:00.000Z,2,365
2026-01-27T02:00:00.000Z,0,365
2026-01-27T03:00:00.000Z,0,365
2026-01-27T04:00:00.000Z,0,365
2026-01-27T05:00:00.000Z,0,365
2026-01-27T06:00:00.000Z,1,366
2026-01-27T07:00:00.000Z,0,366
2026-01-27T08:00:00.000Z,0,366
2026-01-27T09:00:00.000Z,0,366
2026-01-27T10:00:00.000Z,0,366
2026-01-27T11:00:00.000Z,0,366
2026-01-27T12:00:00.000Z,12,378
2026-01-27T13:00:00.000Z,8,386
2026-01-27T14:00:00.000Z,6,392
2026-01-27T15:00:00.000Z,0,392
2026-01-27T16:00:00.000Z,2,394